,forward_RE,forward_FC,prices_SB,production_RE,production_FC,Offshore DK2,Offshore DK1,Onshore DK2,Onshore DK1
13896,3.44,8.20629593878704,29.0,0.1127450980392156,0.0266111672983016,0.1074918566775244,0.4335060449050086,0.1901234567901234,0.1696275071633237
13897,5.61,6.471205243163276,24.0,0.0441176470588235,0.0,0.0749185667752443,0.4542314335060449,0.1518518518518518,0.1555873925501432
13898,7.2,11.110532819974512,24.0,0.0980392156862745,0.0949495280967593,0.0499457111834962,0.4568221070811744,0.1271604938271605,0.1438395415472779
13899,24.8,22.802529437532225,27.0,0.2156862745098039,0.0,0.0347448425624321,0.3747841105354059,0.1098765432098765,0.136676217765043
13900,47.38,48.87256750496788,47.38,0.142156862745098,0.189795798595656,0.0358306188925081,0.2582037996545768,0.1086419753086419,0.1312320916905444
13901,63.0,67.07196090336332,63.0,0.0931372549019607,0.8569085929587916,0.0325732899022801,0.1778929188255613,0.1160493827160493,0.1226361031518624
13902,70.0,71.6505201507918,70.0,0.0833333333333333,0.1418217185863511,0.0499457111834962,0.1226252158894646,0.1074074074074074,0.1146131805157593
13903,58.9,42.12588004213244,58.9,0.1127450980392156,0.0,0.0608034744842562,0.1036269430051813,0.0938271604938271,0.1037249283667621
13904,45.45,50.618001760818125,45.45,0.1029411764705882,0.1533652283608219,0.0532030401737242,0.0889464594127806,0.0864197530864197,0.1068767908309455
13905,34.52,46.2430707255468,34.52,0.1029411764705882,0.0300976306412712,0.0369163952225841,0.0639032815198618,0.0777777777777777,0.1157593123209169
13906,26.49,24.35550510679405,26.49,0.1078431372549019,0.0,0.0336590662323561,0.0725388601036269,0.0777777777777777,0.1246418338108882
13907,21.77,1.3004969086519118,29.0,0.1274509803921568,0.2889335036155463,0.0347448425624321,0.0820379965457685,0.0851851851851851,0.132378223495702
13908,17.98,21.272268612443945,32.0,0.142156862745098,0.0,0.0314875135722041,0.0639032815198618,0.0765432098765432,0.1283667621776504
13909,18.26,14.88064195760988,31.0,0.0637254901960784,0.0301781057970955,0.0271444082519001,0.0535405872193437,0.0753086419753086,0.1326647564469914
13910,25.94,26.533976755503215,25.94,0.0196078431372549,0.0,0.02171552660152,0.0500863557858376,0.074074074074074,0.1340974212034384
13911,40.44,39.18696492171087,40.44,0.0,0.0185457501944668,0.017372421281216,0.1355785837651122,0.0703703703703703,0.1386819484240687
13912,72.88,92.81251826741703,20.0,0.0,0.0,0.01085776330076,0.2089810017271157,0.0679012345679012,0.1426934097421203
13913,84.32,87.2206657752436,84.32,0.0,0.0,0.011943539630836,0.1813471502590673,0.074074074074074,0.157593123209169
13914,94.28,11.086543104512756,18.0,0.0049019607843137,0.1398869087143521,0.015200868621064,0.1856649395509499,0.0925925925925925,0.1727793696275071
13915,94.49,95.92861967327892,94.49,0.0588235294117647,0.22926299980684,0.0249728555917481,0.1951640759930915,0.1074074074074074,0.1839541547277937
13916,79.07,84.61485426840251,79.07,0.2696078431372549,0.3571792544957689,0.0369163952225841,0.2046632124352331,0.1148148148148148,0.1833810888252149
13917,51.04,52.99984444307373,80.0,0.2205882352941176,0.2823463219727725,0.0575461454940282,0.2357512953367875,0.1320987654320987,0.1727793696275071
13918,90.14,95.6858260398824,90.14,0.5735294117647058,0.5706931187378536,0.0846905537459283,0.2918825561312608,0.1580246913580247,0.1730659025787965
13919,63.18,63.39497956263455,14.0,0.4705882352941176,0.3228388970445771,0.0988056460369164,0.3082901554404145,0.1765432098765432,0.1753581661891117
13920,55.62,87.36874120407182,11.5,0.3333333333333333,0.826782263634062,0.1476655808903366,0.3696027633851468,0.1629629629629629,0.16189111747851
13921,55.47,62.01700759110555,10.0,0.2450980392156862,0.221385750789542,0.1292073832790445,0.3557858376511226,0.1555555555555555,0.1515759312320917
13922,55.54,58.90166107031952,10.0,0.2598039215686274,0.4074570259029484,0.1074918566775244,0.3592400690846287,0.1395061728395061,0.1435530085959885
13923,56.58,51.42976279973782,10.0,0.3382352941176471,0.2968025148449705,0.1161780673181324,0.3756476683937824,0.1246913580246913,0.1438395415472779
13924,58.72,25.38687191090009,14.0,0.3137254901960784,0.3853889899723343,0.1009771986970684,0.3506044905008635,0.1037037037037037,0.1406876790830945
13925,65.48,68.99360043485699,65.48,0.1813725490196078,0.1316346829653478,0.0760043431053203,0.3117443868739205,0.091358024691358,0.1255014326647564
13926,88.5,95.42947298204538,88.5,0.088235294117647,0.0,0.0608034744842562,0.2789291882556131,0.074074074074074,0.1143266475644699
13927,60.08,61.43349420493521,60.08,0.0294117647058823,0.0875878949516567,0.0456026058631921,0.2521588946459412,0.0654320987654321,0.1083094555873925
13928,53.72,51.79217107720434,53.72,0.0196078431372549,0.0737686571583699,0.0347448425624321,0.2124352331606217,0.0716049382716049,0.1249283667621776
13929,32.42,29.432118444578087,76.0,0.0588235294117647,0.0904309330707602,0.0336590662323561,0.160621761658031,0.0728395061728395,0.1409742120343839
13930,30.36,52.34303470744621,75.0,0.1323529411764706,0.1961967293971446,0.0271444082519001,0.120034542314335,0.0728395061728395,0.1524355300859599
13931,22.93,18.940572105512867,75.0,0.1862745098039215,0.0454875766429444,0.02171552660152,0.1070811744386874,0.0790123456790123,0.1659025787965616
13932,20.53,17.227337522324998,70.5,0.1225490196078431,0.3736514012915281,0.022801302931596,0.1010362694300518,0.0851851851851851,0.1833810888252149
13933,20.18,27.238516691767263,24.7,0.1470588235294117,0.2945234834968844,0.0249728555917481,0.0880829015544041,0.0938271604938271,0.1997134670487106
13934,20.27,26.725326215680752,20.27,0.142156862745098,0.0369046404128077,0.0293159609120521,0.0854922279792746,0.0975308641975308,0.2074498567335243
13935,23.5,26.2276668252172,18.0,0.1519607843137254,0.0879553212961618,0.0260586319218241,0.0880829015544041,0.0987654320987654,0.2148997134670487
13936,42.42,41.16851282571458,18.0,0.0931372549019607,0.0876583979881348,0.0249728555917481,0.1001727115716753,0.0901234567901234,0.2160458452722063
13937,100.45,97.15762830847876,18.0,0.0833333333333333,0.0272117680571873,0.0304017372421281,0.0967184801381692,0.082716049382716,0.2217765042979942
13938,136.45,136.5185108558003,136.45,0.0686274509803921,0.1981448618684536,0.02171552660152,0.0889464594127806,0.0753086419753086,0.2169054441260745
13939,128.95,152.0255892151818,543.23,0.0539215686274509,0.0,0.0249728555917481,0.1312607944732297,0.0617283950617283,0.2
13940,109.19,109.25355470449036,559.0,0.0441176470588235,0.25678113562678,0.0325732899022801,0.1908462867012089,0.0493827160493827,0.1681948424068768
13941,98.49,117.55552625822908,16.0,0.0539215686274509,0.0,0.0336590662323561,0.2167530224525043,0.0444444444444444,0.1346704871060172
13942,101.55,108.06222005666817,52.34,0.0637254901960784,0.0001344008828029,0.0347448425624321,0.2409326424870466,0.0481481481481481,0.1212034383954154
13943,94.9,92.12397539400976,10.0,0.0392156862745098,0.238974090290818,0.0293159609120521,0.231433506044905,0.0567901234567901,0.1157593123209169
13944,92.58,88.44879373572786,10.0,0.1176470588235294,0.0,0.0260586319218241,0.2202072538860103,0.0666666666666666,0.1326647564469914
13945,90.3,90.8276732423148,50.0,0.230392156862745,0.2912859812893053,0.0282301845819761,0.1701208981001727,0.0876543209876543,0.1214899713467048
13946,90.24,69.22245379084947,90.24,0.1813725490196078,0.2650241648379788,0.0390879478827361,0.1735751295336787,0.091358024691358,0.1146131805157593
13947,90.54,89.18308035742726,160.37,0.1323529411764706,0.1090809834969147,0.0423452768729641,0.2055267702936096,0.0864197530864197,0.1091690544412607
13948,94.7,96.09982693142494,162.75,0.0931372549019607,0.0,0.0423452768729641,0.233160621761658,0.0753086419753086,0.1037249283667621
13949,93.03,100.56560645792231,536.87,0.0735294117647058,0.1392531200589594,0.0380021715526601,0.2504317789291883,0.0592592592592592,0.0965616045845272
13950,93.19,90.28898375980746,11.95,0.0294117647058823,0.0,0.0304017372421281,0.2487046632124352,0.0493827160493827,0.0982808022922636
13951,89.0,95.23389161249736,89.0,0.0147058823529411,0.0830687229338466,0.022801302931596,0.2322970639032815,0.0469135802469135,0.0919770773638968
13952,80.1,80.93795917489811,51.5,0.0098039215686274,0.1355845381447045,0.019543973941368,0.2340241796200345,0.0580246913580246,0.1088825214899713
13953,75.18,76.13374072470928,51.5,0.0441176470588235,0.0,0.019543973941368,0.2098445595854922,0.0641975308641975,0.1372492836676217
13954,65.01,61.475162029956365,51.5,0.0931372549019607,0.0076028046917834,0.01628664495114,0.158894645941278,0.0654320987654321,0.154727793696275
13955,58.91,71.9978914833587,58.91,0.1617647058823529,0.2156033846284825,0.01628664495114,0.116580310880829,0.0703703703703703,0.1616045845272206
13956,58.04,35.92309877009891,33.15,0.1470588235294117,0.031412736527773,0.022801302931596,0.0958549222797927,0.0802469135802469,0.1644699140401146
13957,65.85,65.3594335879853,45.5,0.1176470588235294,0.2671071612197048,0.0390879478827361,0.0759930915371329,0.0962962962962963,0.1699140401146131
13958,79.73,75.58579797529177,79.73,0.0931372549019607,0.5328632160379723,0.0488599348534201,0.0949913644214162,0.1,0.1793696275071633
