"Imbalance settlement period (UTC)","+ Imbalance Price [EUR/MWh] - IPA|DK2","+ Scarcity [EUR/MWh] - IPA|DK2","+ Incentive [EUR/MWh] - IPA|DK2","+ Financial Neutrality [EUR/MWh] - IPA|DK2","- Imbalance Price [EUR/MWh] - IPA|DK2","- Scarcity [EUR/MWh] - IPA|DK2","- Incentive [EUR/MWh] - IPA|DK2","- Financial Neutrality [EUR/MWh] - IPA|DK2","Currency","Status","Total Imbalance [MWh] - IPA|DK2","Difference","Situation","Status"
"04.01.2022 22:00 - 04.01.2022 23:00","84.11","","","","84.11","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.01.2022 23:00 - 05.01.2022 00:00","93.87","","","","93.87","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2022 00:00 - 05.01.2022 01:00","73.99","","","","73.99","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2022 01:00 - 05.01.2022 02:00","50.04","","","","50.04","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2022 02:00 - 05.01.2022 03:00","49.53","","","","49.53","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2022 03:00 - 05.01.2022 04:00","50.07","","","","50.07","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2022 04:00 - 05.01.2022 05:00","93.39","","","","93.39","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2022 05:00 - 05.01.2022 06:00","99.16","","","","99.16","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2022 06:00 - 05.01.2022 07:00","153.50","","","","153.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2022 07:00 - 05.01.2022 08:00","160.00","","","","160.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2022 08:00 - 05.01.2022 09:00","149.00","","","","149.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2022 09:00 - 05.01.2022 10:00","149.00","","","","149.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2022 10:00 - 05.01.2022 11:00","149.00","","","","149.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2022 11:00 - 05.01.2022 12:00","149.00","","","","149.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2022 12:00 - 05.01.2022 13:00","133.77","","","","133.77","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2022 13:00 - 05.01.2022 14:00","133.77","","","","133.77","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2022 14:00 - 05.01.2022 15:00","122.42","","","","122.42","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2022 15:00 - 05.01.2022 16:00","137.28","","","","137.28","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2022 16:00 - 05.01.2022 17:00","148.09","","","","148.09","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2022 17:00 - 05.01.2022 18:00","139.88","","","","139.88","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2022 18:00 - 05.01.2022 19:00","135.75","","","","135.75","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2022 19:00 - 05.01.2022 20:00","119.93","","","","119.93","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2022 20:00 - 05.01.2022 21:00","98.09","","","","98.09","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2022 21:00 - 05.01.2022 22:00","118.71","","","","118.71","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2022 22:00 - 05.01.2022 23:00","97.29","","","","97.29","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2022 23:00 - 06.01.2022 00:00","93.29","","","","93.29","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.01.2022 00:00 - 06.01.2022 01:00","80.77","","","","80.77","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.01.2022 01:00 - 06.01.2022 02:00","78.08","","","","78.08","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.01.2022 02:00 - 06.01.2022 03:00","81.97","","","","81.97","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.01.2022 03:00 - 06.01.2022 04:00","89.31","","","","89.31","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.01.2022 04:00 - 06.01.2022 05:00","89.75","","","","89.75","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.01.2022 05:00 - 06.01.2022 06:00","97.06","","","","97.06","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.01.2022 06:00 - 06.01.2022 07:00","193.79","","","","193.79","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.01.2022 07:00 - 06.01.2022 08:00","228.92","","","","228.92","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.01.2022 08:00 - 06.01.2022 09:00","212.90","","","","212.90","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.01.2022 09:00 - 06.01.2022 10:00","267.00","","","","267.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.01.2022 10:00 - 06.01.2022 11:00","267.00","","","","267.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.01.2022 11:00 - 06.01.2022 12:00","267.00","","","","267.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.01.2022 12:00 - 06.01.2022 13:00","209.47","","","","209.47","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.01.2022 13:00 - 06.01.2022 14:00","146.00","","","","146.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.01.2022 14:00 - 06.01.2022 15:00","146.00","","","","146.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.01.2022 15:00 - 06.01.2022 16:00","146.00","","","","146.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.01.2022 16:00 - 06.01.2022 17:00","146.00","","","","146.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.01.2022 17:00 - 06.01.2022 18:00","148.50","","","","148.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
