"Imbalance settlement period (UTC)","+ Imbalance Price [EUR/MWh] - IPA|DK2","+ Scarcity [EUR/MWh] - IPA|DK2","+ Incentive [EUR/MWh] - IPA|DK2","+ Financial Neutrality [EUR/MWh] - IPA|DK2","- Imbalance Price [EUR/MWh] - IPA|DK2","- Scarcity [EUR/MWh] - IPA|DK2","- Incentive [EUR/MWh] - IPA|DK2","- Financial Neutrality [EUR/MWh] - IPA|DK2","Currency","Status","Total Imbalance [MWh] - IPA|DK2","Difference","Situation","Status"
"29.06.2022 04:00 - 29.06.2022 05:00","137.27","","","","137.27","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"29.06.2022 05:00 - 29.06.2022 06:00","391.00","","","","391.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"29.06.2022 06:00 - 29.06.2022 07:00","391.00","","","","391.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"29.06.2022 07:00 - 29.06.2022 08:00","365.41","","","","365.41","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"29.06.2022 08:00 - 29.06.2022 09:00","329.64","","","","329.64","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"29.06.2022 09:00 - 29.06.2022 10:00","320.93","","","","320.93","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"29.06.2022 10:00 - 29.06.2022 11:00","303.91","","","","303.91","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"29.06.2022 11:00 - 29.06.2022 12:00","291.40","","","","291.40","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"29.06.2022 12:00 - 29.06.2022 13:00","294.55","","","","294.55","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"29.06.2022 13:00 - 29.06.2022 14:00","300.85","","","","300.85","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"29.06.2022 14:00 - 29.06.2022 15:00","308.91","","","","308.91","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"29.06.2022 15:00 - 29.06.2022 16:00","341.07","","","","341.07","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"29.06.2022 16:00 - 29.06.2022 17:00","368.86","","","","368.86","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"29.06.2022 17:00 - 29.06.2022 18:00","390.90","","","","390.90","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"29.06.2022 18:00 - 29.06.2022 19:00","390.00","","","","390.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"29.06.2022 19:00 - 29.06.2022 20:00","366.90","","","","366.90","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"29.06.2022 20:00 - 29.06.2022 21:00","352.77","","","","352.77","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"29.06.2022 21:00 - 29.06.2022 22:00","275.58","","","","275.58","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"29.06.2022 22:00 - 29.06.2022 23:00","285.04","","","","285.04","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"29.06.2022 23:00 - 30.06.2022 00:00","272.58","","","","272.58","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"30.06.2022 00:00 - 30.06.2022 01:00","274.72","","","","274.72","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"30.06.2022 01:00 - 30.06.2022 02:00","202.50","","","","202.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"30.06.2022 02:00 - 30.06.2022 03:00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","EUR","N/A","n/e","n/e","n/e","n/e"
"30.06.2022 03:00 - 30.06.2022 04:00","277.86","","","","277.86","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"30.06.2022 04:00 - 30.06.2022 05:00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","EUR","N/A","n/e","n/e","n/e","n/e"
"30.06.2022 05:00 - 30.06.2022 06:00","369.89","","","","369.89","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"30.06.2022 06:00 - 30.06.2022 07:00","379.63","","","","379.63","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"30.06.2022 07:00 - 30.06.2022 08:00","341.75","","","","341.75","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"30.06.2022 08:00 - 30.06.2022 09:00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","EUR","N/A","n/e","n/e","n/e","n/e"
"30.06.2022 09:00 - 30.06.2022 10:00","274.02","","","","274.02","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"30.06.2022 10:00 - 30.06.2022 11:00","276.32","","","","276.32","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"30.06.2022 11:00 - 30.06.2022 12:00","268.97","","","","268.97","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"30.06.2022 12:00 - 30.06.2022 13:00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","EUR","N/A","n/e","n/e","n/e","n/e"
"30.06.2022 13:00 - 30.06.2022 14:00","285.79","","","","285.79","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"30.06.2022 14:00 - 30.06.2022 15:00","324.09","","","","324.09","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"30.06.2022 15:00 - 30.06.2022 16:00","372.44","","","","372.44","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"30.06.2022 16:00 - 30.06.2022 17:00","409.41","","","","409.41","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"30.06.2022 17:00 - 30.06.2022 18:00","479.00","","","","479.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"30.06.2022 18:00 - 30.06.2022 19:00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","EUR","N/A","n/e","n/e","n/e","n/e"
"30.06.2022 19:00 - 30.06.2022 20:00","394.21","","","","394.21","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"30.06.2022 20:00 - 30.06.2022 21:00","355.17","","","","355.17","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"30.06.2022 21:00 - 30.06.2022 22:00","258.08","","","","258.08","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"30.06.2022 22:00 - 30.06.2022 23:00","268.71","","","","268.71","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"30.06.2022 23:00 - 01.07.2022 00:00","143.00","","","","143.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.07.2022 00:00 - 01.07.2022 01:00","143.00","","","","143.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.07.2022 01:00 - 01.07.2022 02:00","143.00","","","","143.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.07.2022 02:00 - 01.07.2022 03:00","143.00","","","","143.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.07.2022 03:00 - 01.07.2022 04:00","470.48","","","","470.48","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.07.2022 04:00 - 01.07.2022 05:00","355.19","","","","355.19","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.07.2022 05:00 - 01.07.2022 06:00","204.00","","","","204.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.07.2022 06:00 - 01.07.2022 07:00","180.00","","","","180.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.07.2022 07:00 - 01.07.2022 08:00","180.00","","","","180.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.07.2022 08:00 - 01.07.2022 09:00","235.00","","","","235.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.07.2022 09:00 - 01.07.2022 10:00","354.77","","","","354.77","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.07.2022 10:00 - 01.07.2022 11:00","430.15","","","","430.15","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.07.2022 11:00 - 01.07.2022 12:00","300.72","","","","300.72","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.07.2022 12:00 - 01.07.2022 13:00","266.68","","","","266.68","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.07.2022 13:00 - 01.07.2022 14:00","254.79","","","","254.79","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.07.2022 14:00 - 01.07.2022 15:00","220.69","","","","220.69","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.07.2022 15:00 - 01.07.2022 16:00","253.71","","","","253.71","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.07.2022 16:00 - 01.07.2022 17:00","282.13","","","","282.13","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.07.2022 17:00 - 01.07.2022 18:00","321.49","","","","321.49","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.07.2022 18:00 - 01.07.2022 19:00","193.00","","","","193.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.07.2022 19:00 - 01.07.2022 20:00","172.00","","","","172.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.07.2022 20:00 - 01.07.2022 21:00","151.00","","","","151.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.07.2022 21:00 - 01.07.2022 22:00","144.95","","","","144.95","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.07.2022 22:00 - 01.07.2022 23:00","179.00","","","","179.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.07.2022 23:00 - 02.07.2022 00:00","155.00","","","","155.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.07.2022 00:00 - 02.07.2022 01:00","143.50","","","","143.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.07.2022 01:00 - 02.07.2022 02:00","117.00","","","","117.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.07.2022 02:00 - 02.07.2022 03:00","131.90","","","","131.90","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.07.2022 03:00 - 02.07.2022 04:00","151.00","","","","151.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.07.2022 04:00 - 02.07.2022 05:00","148.50","","","","148.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.07.2022 05:00 - 02.07.2022 06:00","149.54","","","","149.54","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.07.2022 06:00 - 02.07.2022 07:00","208.60","","","","208.60","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.07.2022 07:00 - 02.07.2022 08:00","82.50","","","","82.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.07.2022 08:00 - 02.07.2022 09:00","0.00","","","","0.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.07.2022 09:00 - 02.07.2022 10:00","-2.00","","","","-2.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.07.2022 10:00 - 02.07.2022 11:00","-3.00","","","","-3.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.07.2022 11:00 - 02.07.2022 12:00","-7.50","","","","-7.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.07.2022 12:00 - 02.07.2022 13:00","-7.50","","","","-7.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.07.2022 13:00 - 02.07.2022 14:00","-2.78","","","","-2.78","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.07.2022 14:00 - 02.07.2022 15:00","-2.78","","","","-2.78","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.07.2022 15:00 - 02.07.2022 16:00","-0.50","","","","-0.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.07.2022 16:00 - 02.07.2022 17:00","16.00","","","","16.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.07.2022 17:00 - 02.07.2022 18:00","220.00","","","","220.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.07.2022 18:00 - 02.07.2022 19:00","205.50","","","","205.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.07.2022 19:00 - 02.07.2022 20:00","201.00","","","","201.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.07.2022 20:00 - 02.07.2022 21:00","216.50","","","","216.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.07.2022 21:00 - 02.07.2022 22:00","216.50","","","","216.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.07.2022 22:00 - 02.07.2022 23:00","205.00","","","","205.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.07.2022 23:00 - 03.07.2022 00:00","196.00","","","","196.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.07.2022 00:00 - 03.07.2022 01:00","175.00","","","","175.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.07.2022 01:00 - 03.07.2022 02:00","195.60","","","","195.60","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.07.2022 02:00 - 03.07.2022 03:00","119.00","","","","119.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.07.2022 03:00 - 03.07.2022 04:00","115.00","","","","115.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.07.2022 04:00 - 03.07.2022 05:00","115.00","","","","115.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.07.2022 05:00 - 03.07.2022 06:00","130.00","","","","130.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.07.2022 06:00 - 03.07.2022 07:00","185.07","","","","185.07","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.07.2022 07:00 - 03.07.2022 08:00","115.00","","","","115.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.07.2022 08:00 - 03.07.2022 09:00","0.00","","","","0.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.07.2022 09:00 - 03.07.2022 10:00","0.00","","","","0.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.07.2022 10:00 - 03.07.2022 11:00","0.00","","","","0.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.07.2022 11:00 - 03.07.2022 12:00","0.00","","","","0.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.07.2022 12:00 - 03.07.2022 13:00","65.82","","","","65.82","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.07.2022 13:00 - 03.07.2022 14:00","74.46","","","","74.46","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.07.2022 14:00 - 03.07.2022 15:00","123.80","","","","123.80","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.07.2022 15:00 - 03.07.2022 16:00","175.99","","","","175.99","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.07.2022 16:00 - 03.07.2022 17:00","272.77","","","","272.77","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.07.2022 17:00 - 03.07.2022 18:00","327.00","","","","327.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.07.2022 18:00 - 03.07.2022 19:00","340.10","","","","340.10","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.07.2022 19:00 - 03.07.2022 20:00","348.43","","","","348.43","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.07.2022 20:00 - 03.07.2022 21:00","348.45","","","","348.45","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.07.2022 21:00 - 03.07.2022 22:00","333.06","","","","333.06","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.07.2022 22:00 - 03.07.2022 23:00","127.00","","","","127.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.07.2022 23:00 - 04.07.2022 00:00","117.00","","","","117.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.07.2022 00:00 - 04.07.2022 01:00","188.13","","","","188.13","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.07.2022 01:00 - 04.07.2022 02:00","190.50","","","","190.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.07.2022 02:00 - 04.07.2022 03:00","498.18","","","","498.18","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.07.2022 03:00 - 04.07.2022 04:00","302.44","","","","302.44","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.07.2022 04:00 - 04.07.2022 05:00","361.88","","","","361.88","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.07.2022 05:00 - 04.07.2022 06:00","376.00","","","","376.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.07.2022 06:00 - 04.07.2022 07:00","385.17","","","","385.17","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.07.2022 07:00 - 04.07.2022 08:00","157.00","","","","157.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.07.2022 08:00 - 04.07.2022 09:00","157.00","","","","157.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.07.2022 09:00 - 04.07.2022 10:00","221.30","","","","221.30","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.07.2022 10:00 - 04.07.2022 11:00","181.80","","","","181.80","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.07.2022 11:00 - 04.07.2022 12:00","145.00","","","","145.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.07.2022 12:00 - 04.07.2022 13:00","118.00","","","","118.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.07.2022 13:00 - 04.07.2022 14:00","0.00","","","","0.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.07.2022 14:00 - 04.07.2022 15:00","0.00","","","","0.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.07.2022 15:00 - 04.07.2022 16:00","135.00","","","","135.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.07.2022 16:00 - 04.07.2022 17:00","190.00","","","","190.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.07.2022 17:00 - 04.07.2022 18:00","175.00","","","","175.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.07.2022 18:00 - 04.07.2022 19:00","207.00","","","","207.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.07.2022 19:00 - 04.07.2022 20:00","207.50","","","","207.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.07.2022 20:00 - 04.07.2022 21:00","136.50","","","","136.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.07.2022 21:00 - 04.07.2022 22:00","186.50","","","","186.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.07.2022 22:00 - 04.07.2022 23:00","174.00","","","","174.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.07.2022 23:00 - 05.07.2022 00:00","191.00","","","","191.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.07.2022 00:00 - 05.07.2022 01:00","206.92","","","","206.92","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.07.2022 01:00 - 05.07.2022 02:00","208.39","","","","208.39","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.07.2022 02:00 - 05.07.2022 03:00","184.99","","","","184.99","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.07.2022 03:00 - 05.07.2022 04:00","672.12","","","","672.12","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.07.2022 04:00 - 05.07.2022 05:00","289.69","","","","289.69","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.07.2022 05:00 - 05.07.2022 06:00","412.59","","","","412.59","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.07.2022 06:00 - 05.07.2022 07:00","671.99","","","","671.99","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.07.2022 07:00 - 05.07.2022 08:00","303.43","","","","303.43","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.07.2022 08:00 - 05.07.2022 09:00","100.00","","","","100.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.07.2022 09:00 - 05.07.2022 10:00","100.00","","","","100.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.07.2022 10:00 - 05.07.2022 11:00","10.62","","","","10.62","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.07.2022 11:00 - 05.07.2022 12:00","10.62","","","","10.62","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.07.2022 12:00 - 05.07.2022 13:00","192.71","","","","192.71","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.07.2022 13:00 - 05.07.2022 14:00","200.10","","","","200.10","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.07.2022 14:00 - 05.07.2022 15:00","123.50","","","","123.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.07.2022 15:00 - 05.07.2022 16:00","110.00","","","","110.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.07.2022 16:00 - 05.07.2022 17:00","231.53","","","","231.53","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.07.2022 17:00 - 05.07.2022 18:00","206.50","","","","206.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.07.2022 18:00 - 05.07.2022 19:00","510.81","","","","510.81","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.07.2022 19:00 - 05.07.2022 20:00","1344.25","","","","1344.25","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.07.2022 20:00 - 05.07.2022 21:00","672.12","","","","672.12","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.07.2022 21:00 - 05.07.2022 22:00","671.45","","","","671.45","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.07.2022 22:00 - 05.07.2022 23:00","150.00","","","","150.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.07.2022 23:00 - 06.07.2022 00:00","279.07","","","","279.07","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.07.2022 00:00 - 06.07.2022 01:00","190.00","","","","190.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.07.2022 01:00 - 06.07.2022 02:00","190.00","","","","190.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.07.2022 02:00 - 06.07.2022 03:00","174.50","","","","174.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.07.2022 03:00 - 06.07.2022 04:00","150.00","","","","150.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.07.2022 04:00 - 06.07.2022 05:00","672.08","","","","672.08","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.07.2022 05:00 - 06.07.2022 06:00","672.08","","","","672.08","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.07.2022 06:00 - 06.07.2022 07:00","220.00","","","","220.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.07.2022 07:00 - 06.07.2022 08:00","220.00","","","","220.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.07.2022 08:00 - 06.07.2022 09:00","287.90","","","","287.90","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.07.2022 09:00 - 06.07.2022 10:00","260.83","","","","260.83","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.07.2022 10:00 - 06.07.2022 11:00","220.00","","","","220.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.07.2022 11:00 - 06.07.2022 12:00","204.77","","","","204.77","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.07.2022 12:00 - 06.07.2022 13:00","172.44","","","","172.44","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.07.2022 13:00 - 06.07.2022 14:00","127.00","","","","127.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.07.2022 14:00 - 06.07.2022 15:00","180.04","","","","180.04","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.07.2022 15:00 - 06.07.2022 16:00","194.00","","","","194.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.07.2022 16:00 - 06.07.2022 17:00","150.70","","","","150.70","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.07.2022 17:00 - 06.07.2022 18:00","147.00","","","","147.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.07.2022 18:00 - 06.07.2022 19:00","125.00","","","","125.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.07.2022 19:00 - 06.07.2022 20:00","111.00","","","","111.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.07.2022 20:00 - 06.07.2022 21:00","111.00","","","","111.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.07.2022 21:00 - 06.07.2022 22:00","36.43","","","","36.43","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.07.2022 22:00 - 06.07.2022 23:00","23.15","","","","23.15","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.07.2022 23:00 - 07.07.2022 00:00","-2.00","","","","-2.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.07.2022 00:00 - 07.07.2022 01:00","-1.50","","","","-1.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.07.2022 01:00 - 07.07.2022 02:00","-1.50","","","","-1.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.07.2022 02:00 - 07.07.2022 03:00","-1.50","","","","-1.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.07.2022 03:00 - 07.07.2022 04:00","-1.50","","","","-1.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.07.2022 04:00 - 07.07.2022 05:00","-1.50","","","","-1.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.07.2022 05:00 - 07.07.2022 06:00","-0.50","","","","-0.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.07.2022 06:00 - 07.07.2022 07:00","0.00","","","","0.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.07.2022 07:00 - 07.07.2022 08:00","0.00","","","","0.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.07.2022 08:00 - 07.07.2022 09:00","0.00","","","","0.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.07.2022 09:00 - 07.07.2022 10:00","0.00","","","","0.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.07.2022 10:00 - 07.07.2022 11:00","0.00","","","","0.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.07.2022 11:00 - 07.07.2022 12:00","161.00","","","","161.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.07.2022 12:00 - 07.07.2022 13:00","150.77","","","","150.77","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.07.2022 13:00 - 07.07.2022 14:00","123.00","","","","123.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.07.2022 14:00 - 07.07.2022 15:00","120.00","","","","120.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.07.2022 15:00 - 07.07.2022 16:00","121.00","","","","121.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.07.2022 16:00 - 07.07.2022 17:00","121.00","","","","121.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.07.2022 17:00 - 07.07.2022 18:00","143.00","","","","143.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.07.2022 18:00 - 07.07.2022 19:00","143.00","","","","143.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.07.2022 19:00 - 07.07.2022 20:00","150.00","","","","150.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.07.2022 20:00 - 07.07.2022 21:00","140.00","","","","140.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
