,forecasts_24h
2021-01-02 03:00:00,"[0.99173334 0.99775197 1.0025019  0.90491001 0.79153145 0.90516948
 0.90802511 0.95990948 0.98428604 0.92497996 0.87770701 0.9456421
 0.64266853 0.44609678 0.42322452 0.42906853 0.32738938 0.60669542
 0.81826279 0.89981493 0.92841837 0.96947241 0.96867335 0.93073488]"
2021-01-02 04:00:00,"[1.00207409 1.00447073 0.90648611 0.79265159 0.9058661  0.90848315
 0.96021914 0.98449071 0.9251148  0.87779648 0.94570143 0.6427078
 0.44612279 0.42324176 0.42907994 0.32739694 0.60670042 0.8182661
 0.89981712 0.92841982 0.96947337 0.96867399 0.9307353  0.95050957]"
2021-01-02 05:00:00,"[1.00338632 0.90599214 0.79225615 0.90558506 0.90830836 0.96010422
 0.98441302 0.92506344 0.87776266 0.94567898 0.64269291 0.44611293
 0.42323523 0.42907562 0.32739408 0.60669853 0.81826485 0.89981629
 0.92841927 0.96947301 0.96867375 0.93073514 0.95050946 0.96009066]"
2021-01-02 06:00:00,"[0.90422164 0.79144964 0.90493943 0.90784952 0.95981886 0.98422539
 0.9249366  0.87767882 0.94562375 0.64265626 0.44608863 0.42321914
 0.42906496 0.32738702 0.60669385 0.81826175 0.89981424 0.92841791
 0.96947211 0.96867315 0.93073474 0.9505092  0.96009049 0.98435824]"
2021-01-02 07:00:00,"[0.8415262  0.92775053 0.92611046 0.97279689 0.99229651 0.93024347
 0.88126652 0.94799508 0.64421844 0.44712523 0.42390661 0.42951998
 0.32768835 0.6068935  0.81839399 0.89990183 0.92847593 0.96951054
 0.96869861 0.93075161 0.95052037 0.96009789 0.98436314 0.99576732]"
2021-01-02 08:00:00,"[1.01060664 0.96385345 1.00301125 1.01376982 0.94359785 0.8900472
 0.95393125 0.64814201 0.44971    0.42562176 0.43065744 0.32844121
 0.60739209 0.81872434 0.90012064 0.92862086 0.96960654 0.9687622
 0.93079373 0.95054827 0.96011637 0.98437538 0.99577543 0.92620014]"
2021-01-02 09:00:00,"[0.95318203 0.99815016 1.00987838 0.9408322  0.88832723 0.95280035
 0.64737747 0.44920467 0.42528886 0.43043654 0.32829471 0.60729512
 0.81866012 0.9000781  0.92859267 0.96958787 0.96874983 0.93078554
 0.95054284 0.96011278 0.984373   0.99577386 0.92619909 0.92134466]"
2021-01-02 10:00:00,"[0.99956199 1.0105215  0.94134704 0.88869313 0.9530279  0.64752709
 0.44930582 0.42535571 0.43048058 0.32832394 0.60731451 0.81867295
 0.90008659 0.9285983  0.9695916  0.9687523  0.93078717 0.95054393
 0.96011349 0.98437347 0.99577417 0.9261993  0.9213448  0.90272254]"
2021-01-02 11:00:00,"[0.96461775 0.92043676 0.87195384 0.94113131 0.64012852 0.44444116
 0.42206697 0.42830686 0.32689193 0.60636428 0.81804277 0.89966949
 0.92832208 0.96940858 0.96863108 0.93070688 0.95049074 0.96007826
 0.98435014 0.99575871 0.92618906 0.92133802 0.90271804 0.94102265]"
2021-01-02 12:00:00,"[0.8774256  0.8523612  0.92544683 0.62898158 0.43750881 0.41750886
 0.42522535 0.32485518 0.60502251 0.81715242 0.89907903 0.92793127
 0.96914977 0.96845959 0.93059329 0.95041551 0.96002843 0.98431713
 0.99573685 0.92617458 0.92132842 0.90271169 0.94101844 0.86038429]"
